Experiment,Timestamp,temperature [C],delta_t [C/s],notes
2,1752501983162322282,1.0260000228881836,-0.0174137084928238,"vetro, thick 1mm, temp 38C"
2,1752501983262255191,1.0219999551773071,-0.0281415084484747,"vetro, thick 1mm, temp 38C"
2,1752501983362290620,1.0180000066757202,-0.0380653019692373,"vetro, thick 1mm, temp 38C"
2,1752501983462274074,1.0130000114440918,-0.0485020750341106,"vetro, thick 1mm, temp 38C"
2,1752501983562272310,1.008999943733215,-0.0564510289624063,"vetro, thick 1mm, temp 38C"
2,1752501983662210464,1.0049999952316284,-0.062465331083511,"vetro, thick 1mm, temp 38C"
2,1752501983761964082,1.0010000467300415,-0.0669903666281927,"vetro, thick 1mm, temp 38C"
2,1752501983862355470,0.9990000128746032,-0.0667785619883382,"vetro, thick 1mm, temp 38C"
2,1752501983962270259,0.9950000047683716,-0.0678647217270759,"vetro, thick 1mm, temp 38C"
2,1752501984062253713,0.9940000176429749,-0.0640890918693348,"vetro, thick 1mm, temp 38C"
2,1752501984162338972,0.9919999837875366,-0.0600710759105903,"vetro, thick 1mm, temp 38C"
2,1752501984262025117,0.9890000224113464,-0.0580957817359947,"vetro, thick 1mm, temp 38C"
2,1752501984362272500,0.9869999885559082,-0.0554993281739921,"vetro, thick 1mm, temp 38C"
2,1752501984461791753,0.9850000143051147,-0.0528320800443798,"vetro, thick 1mm, temp 38C"
2,1752501984562275171,0.9850000143051147,-0.0528320800443798,"vetro, thick 1mm, temp 38C"
2,1752501984662215232,0.984000027179718,-0.0485702180825897,"vetro, thick 1mm, temp 38C"
2,1752501984762294769,0.9829999804496764,-0.0439106702079543,"vetro, thick 1mm, temp 38C"
2,1752501984862309932,0.9800000190734864,-0.0430754619078095,"vetro, thick 1mm, temp 38C"
2,1752501984962198734,0.9800000190734864,-0.0387894182690358,"vetro, thick 1mm, temp 38C"
2,1752501985062203168,0.9760000109672546,-0.0403982238330404,"vetro, thick 1mm, temp 38C"
2,1752501985162224531,0.9769999980926514,-0.0357507215887151,"vetro, thick 1mm, temp 38C"
2,1752501985261835813,0.9739999771118164,-0.0356559183115143,"vetro, thick 1mm, temp 38C"
2,1752501985362270116,0.9729999899864196,-0.0342004088833637,"vetro, thick 1mm, temp 38C"
2,1752501985461928129,0.9729999899864196,-0.0304091724640671,"vetro, thick 1mm, temp 38C"
2,1752501985562237024,0.972000002861023,-0.0276146179225598,"vetro, thick 1mm, temp 38C"
2,1752501985662384271,0.9700000286102296,-0.0273599242356191,"vetro, thick 1mm, temp 38C"
2,1752501985761806488,0.9700000286102296,-0.0247727311478124,"vetro, thick 1mm, temp 38C"
2,1752501985862327337,0.968999981880188,-0.0230755448455586,"vetro, thick 1mm, temp 38C"
2,1752501985961945533,0.9670000076293944,-0.0237670781727821,"vetro, thick 1mm, temp 38C"
2,1752501986062371730,0.9670000076293944,-0.0219668924675711,"vetro, thick 1mm, temp 38C"
2,1752501986162209749,0.9670000076293944,-0.0191077811499363,"vetro, thick 1mm, temp 38C"
2,1752501986262389183,0.9660000205039978,-0.017787093126515,"vetro, thick 1mm, temp 38C"
2,1752501986362299203,0.9649999737739564,-0.0173392017277269,"vetro, thick 1mm, temp 38C"
2,1752501986462267637,0.9639999866485596,-0.0173591836125395,"vetro, thick 1mm, temp 38C"
2,1752501986562289953,0.962000012397766,-0.0194066018623972,"vetro, thick 1mm, temp 38C"
2,1752501986662247896,0.962000012397766,-0.0194066018623972,"vetro, thick 1mm, temp 38C"
2,1752501986762257099,0.962000012397766,-0.0186632426372118,"vetro, thick 1mm, temp 38C"
2,1752501986862356185,0.962000012397766,-0.0166193047795218,"vetro, thick 1mm, temp 38C"
2,1752501986962249040,0.9610000252723694,-0.015922014624811,"vetro, thick 1mm, temp 38C"
2,1752501987062029600,0.959999978542328,-0.0159474452468444,"vetro, thick 1mm, temp 38C"
2,1752501987161783218,0.959999978542328,-0.0145246361794248,"vetro, thick 1mm, temp 38C"
2,1752501987262284517,0.9580000042915344,-0.0161201961316693,"vetro, thick 1mm, temp 38C"
2,1752501987362245321,0.9570000171661376,-0.0172511796821327,"vetro, thick 1mm, temp 38C"
2,1752501987462353229,0.9580000042915344,-0.0144527786247539,"vetro, thick 1mm, temp 38C"
2,1752501987562331676,0.9570000171661376,-0.0135807888561245,"vetro, thick 1mm, temp 38C"
2,1752501987662316560,0.9559999704360962,-0.0137313269865196,"vetro, thick 1mm, temp 38C"
2,1752501987762239694,0.9549999833106996,-0.0143692480673405,"vetro, thick 1mm, temp 38C"
2,1752501987862264633,0.9570000171661376,-0.0097885361310934,"vetro, thick 1mm, temp 38C"
2,1752501987962259769,0.9559999704360962,-0.0084631031446086,"vetro, thick 1mm, temp 38C"
2,1752501988062341451,0.9539999961853028,-0.0106519153496444,"vetro, thick 1mm, temp 38C"
2,1752501988162382125,0.953000009059906,-0.0125657377743581,"vetro, thick 1mm, temp 38C"
2,1752501988262274980,0.953000009059906,-0.0123725943627756,"vetro, thick 1mm, temp 38C"
2,1752501988362313270,0.9539999961853028,-0.0093644437727362,"vetro, thick 1mm, temp 38C"
2,1752501988462376356,0.9520000219345092,-0.0106476036954989,"vetro, thick 1mm, temp 38C"
2,1752501988562259674,0.9509999752044678,-0.0121181518391324,"vetro, thick 1mm, temp 38C"
2,1752501988662244558,0.949999988079071,-0.013548063589705,"vetro, thick 1mm, temp 38C"
2,1752501988762347936,0.949999988079071,-0.013548063589705,"vetro, thick 1mm, temp 38C"
2,1752501988862210273,0.9509999752044678,-0.0112294177986979,"vetro, thick 1mm, temp 38C"
2,1752501988962243080,0.949999988079071,-0.0108826105849358,"vetro, thick 1mm, temp 38C"
2,1752501989062130212,0.9509999752044678,-0.007933263271834,"vetro, thick 1mm, temp 38C"
2,1752501989162171125,0.9490000009536744,-0.0093740430453774,"vetro, thick 1mm, temp 38C"
2,1752501989261825561,0.9490000009536744,-0.0092363612603297,"vetro, thick 1mm, temp 38C"
2,1752501989362205028,0.9490000009536744,-0.0083376246722267,"vetro, thick 1mm, temp 38C"
2,1752501989462240695,0.9480000138282776,-0.0089468343492698,"vetro, thick 1mm, temp 38C"
2,1752501989562260389,0.9480000138282776,-0.0084401319995867,"vetro, thick 1mm, temp 38C"
2,1752501989662285804,0.9470000267028807,-0.0092322127939932,"vetro, thick 1mm, temp 38C"
2,1752501989762214422,0.9470000267028807,-0.0087894332317931,"vetro, thick 1mm, temp 38C"
2,1752501989862270116,0.9459999799728394,-0.0095815063695284,"vetro, thick 1mm, temp 38C"
2,1752501989962098121,0.9470000267028807,-0.0073072025196864,"vetro, thick 1mm, temp 38C"
2,1752501990062221527,0.9449999928474426,-0.0091352063462808,"vetro, thick 1mm, temp 38C"
2,1752501990161759138,0.9459999799728394,-0.0074087828244327,"vetro, thick 1mm, temp 38C"
2,1752501990262248992,0.944000005722046,-0.0094959984959564,"vetro, thick 1mm, temp 38C"
2,1752501990362270355,0.9459999799728394,-0.0060641406589387,"vetro, thick 1mm, temp 38C"
2,1752501990462164402,0.9449999928474426,-0.0056367344852097,"vetro, thick 1mm, temp 38C"
2,1752501990562156438,0.9430000185966492,-0.0085199530078418,"vetro, thick 1mm, temp 38C"
2,1752501990662290096,0.9430000185966492,-0.0091659343132257,"vetro, thick 1mm, temp 38C"
2,1752501990762292623,0.944000005722046,-0.0068575542389594,"vetro, thick 1mm, temp 38C"
2,1752501990862249135,0.944000005722046,-0.0068575542389594,"vetro, thick 1mm, temp 38C"
2,1752501990962207078,0.9430000185966492,-0.0069092449467766,"vetro, thick 1mm, temp 38C"
2,1752501991062399387,0.9419999718666076,-0.008112825462472,"vetro, thick 1mm, temp 38C"
2,1752501991162240743,0.9419999718666076,-0.0079724256235403,"vetro, thick 1mm, temp 38C"
2,1752501991261805534,0.9419999718666076,-0.0071861113963451,"vetro, thick 1mm, temp 38C"
2,1752501991362246990,0.9430000185966492,-0.0043539832852738,"vetro, thick 1mm, temp 38C"
2,1752501991462236881,0.9419999718666076,-0.0043744661292489,"vetro, thick 1mm, temp 38C"
2,1752501991562091827,0.9409999847412108,-0.0057907775968785,"vetro, thick 1mm, temp 38C"
2,1752501991662238359,0.9409999847412108,-0.0059636002322978,"vetro, thick 1mm, temp 38C"
2,1752501991762195348,0.9409999847412108,-0.0055115593027465,"vetro, thick 1mm, temp 38C"
2,1752501991862304687,0.9399999976158142,-0.0065939957357334,"vetro, thick 1mm, temp 38C"
2,1752501991961727142,0.9399999976158142,-0.0065309299716809,"vetro, thick 1mm, temp 38C"
2,1752501992061885595,0.9399999976158142,-0.005912244049844,"vetro, thick 1mm, temp 38C"
2,1752501992162034749,0.9390000104904176,-0.006876962809372,"vetro, thick 1mm, temp 38C"
2,1752501992262273788,0.9390000104904176,-0.0067307483486972,"vetro, thick 1mm, temp 38C"
2,1752501992362193584,0.9390000104904176,-0.0060533359115837,"vetro, thick 1mm, temp 38C"
2,1752501992462203502,0.9390000104904176,-0.0051766035853555,"vetro, thick 1mm, temp 38C"
2,1752501992562273740,0.9390000104904176,-0.0042811104228218,"vetro, thick 1mm, temp 38C"
2,1752501992662215471,0.9380000233650208,-0.0052569956608405,"vetro, thick 1mm, temp 38C"
2,1752501992762263059,0.9369999766349792,-0.0070621339320688,"vetro, thick 1mm, temp 38C"
2,1752501992862158298,0.9380000233650208,-0.0055109755170098,"vetro, thick 1mm, temp 38C"
2,1752501992962233781,0.9380000233650208,-0.0055109755170098,"vetro, thick 1mm, temp 38C"
2,1752501993062239408,0.9359999895095824,-0.0078549810368889,"vetro, thick 1mm, temp 38C"
2,1752501993162269592,0.9369999766349792,-0.0064966186225954,"vetro, thick 1mm, temp 38C"
2,1752501993262139081,0.9380000233650208,-0.0034462412494832,"vetro, thick 1mm, temp 38C"
2,1752501993362370729,0.9359999895095824,-0.0052414555639936,"vetro, thick 1mm, temp 38C"
2,1752501993462230920,0.9359999895095824,-0.0056493795773443,"vetro, thick 1mm, temp 38C"
2,1752501993562230587,0.9359999895095824,-0.0053408181819251,"vetro, thick 1mm, temp 38C"
2,1752501993662225723,0.9350000023841858,-0.0065089262875106,"vetro, thick 1mm, temp 38C"
2,1752501993762472391,0.9359999895095824,-0.0046955190676573,"vetro, thick 1mm, temp 38C"
2,1752501993862245798,0.9350000023841858,-0.0051843296395541,"vetro, thick 1mm, temp 38C"
2,1752501993962187528,0.9350000023841858,-0.0049572571522237,"vetro, thick 1mm, temp 38C"
2,1752501994062261819,0.9340000152587892,-0.0061998153154459,"vetro, thick 1mm, temp 38C"
2,1752501994162209987,0.9350000023841858,-0.0044507086113205,"vetro, thick 1mm, temp 38C"
2,1752501994262202024,0.9340000152587892,-0.0049930593769943,"vetro, thick 1mm, temp 38C"
2,1752501994361736297,0.9340000152587892,-0.0048094359082451,"vetro, thick 1mm, temp 38C"
2,1752501994462245464,0.9340000152587892,-0.0042866111768157,"vetro, thick 1mm, temp 38C"
2,1752501994562276601,0.9340000152587892,-0.0036446320525019,"vetro, thick 1mm, temp 38C"
2,1752501994662262201,0.9340000152587892,-0.003002045396863,"vetro, thick 1mm, temp 38C"
2,1752501994762094736,0.9330000281333924,-0.0042169706755964,"vetro, thick 1mm, temp 38C"
2,1752501994862295866,0.9330000281333924,-0.0044327567013721,"vetro, thick 1mm, temp 38C"
2,1752501994962245464,0.9330000281333924,-0.0041395437508787,"vetro, thick 1mm, temp 38C"
2,1752501995062273025,0.9330000281333924,-0.0041395437508787,"vetro, thick 1mm, temp 38C"
2,1752501995162258148,0.9319999814033508,-0.0054233945816326,"vetro, thick 1mm, temp 38C"
2,1752501995262372255,0.9319999814033508,-0.0055643759763552,"vetro, thick 1mm, temp 38C"
2,1752501995362130641,0.930999994277954,-0.0069326398476114,"vetro, thick 1mm, temp 38C"
2,1752501995462274551,0.930999994277954,-0.0069791515582418,"vetro, thick 1mm, temp 38C"
2,1752501995562261343,0.9319999814033508,-0.0045738418304948,"vetro, thick 1mm, temp 38C"
2,1752501995661834239,0.930999994277954,-0.0047835711248682,"vetro, thick 1mm, temp 38C"
2,1752501995762296915,0.930999994277954,-0.004455817077873,"vetro, thick 1mm, temp 38C"
2,1752501995862207651,0.930999994277954,-0.0038941940578368,"vetro, thick 1mm, temp 38C"
2,1752501995961957931,0.930999994277954,-0.0032685213128138,"vetro, thick 1mm, temp 38C"
2,1752501996062254428,0.930999994277954,-0.0026677747495992,"vetro, thick 1mm, temp 38C"
2,1752501996161954879,0.930999994277954,-0.0021333092061601,"vetro, thick 1mm, temp 38C"
2,1752501996262437582,0.930999994277954,-0.0016794232613205,"vetro, thick 1mm, temp 38C"
2,1752501996362463235,0.9300000071525574,-0.0031058478805444,"vetro, thick 1mm, temp 38C"
2,1752501996462225437,0.9290000200271606,-0.0053252464604292,"vetro, thick 1mm, temp 38C"
2,1752501996562209129,0.9290000200271606,-0.0059334795831342,"vetro, thick 1mm, temp 38C"
2,1752501996662411451,0.9290000200271606,-0.0056975006507776,"vetro, thick 1mm, temp 38C"
2,1752501996762263059,0.9279999732971193,-0.0068691800294277,"vetro, thick 1mm, temp 38C"
2,1752501996861832380,0.9279999732971193,-0.0068250767223177,"vetro, thick 1mm, temp 38C"
2,1752501996962224960,0.9269999861717224,-0.0079891860225392,"vetro, thick 1mm, temp 38C"
2,1752501997062042713,0.9279999732971193,-0.0060405960119051,"vetro, thick 1mm, temp 38C"
2,1752501997162277221,0.9279999732971193,-0.0060405960119051,"vetro, thick 1mm, temp 38C"
2,1752501997261730194,0.9279999732971193,-0.004542133265623,"vetro, thick 1mm, temp 38C"
2,1752501997361926317,0.9269999861717224,-0.0051990713517527,"vetro, thick 1mm, temp 38C"
2,1752501997461871385,0.9269999861717224,-0.0050530545922985,"vetro, thick 1mm, temp 38C"
2,1752501997562376022,0.9269999861717224,-0.004526731466859,"vetro, thick 1mm, temp 38C"
2,1752501997662270784,0.9269999861717224,-0.0038614273033765,"vetro, thick 1mm, temp 38C"
2,1752501997761872291,0.9269999861717224,-0.0031878998059663,"vetro, thick 1mm, temp 38C"
2,1752501997862254619,0.9269999861717224,-0.0025709603496985,"vetro, thick 1mm, temp 38C"
2,1752501997962248802,0.9269999861717224,-0.0020372735846543,"vetro, thick 1mm, temp 38C"
2,1752501998062261104,0.9259999990463256,-0.003392389272878,"vetro, thick 1mm, temp 38C"
2,1752501998162220239,0.9269999861717224,-0.0019511040998344,"vetro, thick 1mm, temp 38C"
2,1752501998262224197,0.9259999990463256,-0.0028692518217719,"vetro, thick 1mm, temp 38C"
2,1752501998362320184,0.9259999990463256,-0.003060911541562,"vetro, thick 1mm, temp 38C"
2,1752501998462039470,0.9259999990463256,-0.0028793427655185,"vetro, thick 1mm, temp 38C"
2,1752501998562376737,0.925000011920929,-0.0043312100420746,"vetro, thick 1mm, temp 38C"
2,1752501998662431001,0.9259999990463256,-0.0028528392780862,"vetro, thick 1mm, temp 38C"
2,1752501998762349843,0.9259999990463256,-0.001871682068704,"vetro, thick 1mm, temp 38C"
2,1752501998862170219,0.925000011920929,-0.0030224404756376,"vetro, thick 1mm, temp 38C"
2,1752501998961919307,0.9240000247955322,-0.0051142692779419,"vetro, thick 1mm, temp 38C"
2,1752501999062152862,0.925000011920929,-0.0038790043303422,"vetro, thick 1mm, temp 38C"
2,1752501999162417173,0.925000011920929,-0.0029246141162875,"vetro, thick 1mm, temp 38C"
2,1752501999262304067,0.925000011920929,-0.0029246141162875,"vetro, thick 1mm, temp 38C"
2,1752501999362269401,0.9240000247955322,-0.0039937244666489,"vetro, thick 1mm, temp 38C"
2,1752501999462233066,0.925000011920929,-0.0023581765106134,"vetro, thick 1mm, temp 38C"
2,1752501999562390327,0.9240000247955322,-0.0031444989519151,"vetro, thick 1mm, temp 38C"
2,1752501999662188768,0.9240000247955322,-0.0032467920424805,"vetro, thick 1mm, temp 38C"
2,1752501999762251853,0.9240000247955322,-0.0030047043730343,"vetro, thick 1mm, temp 38C"
2,1752501999862264156,0.921999990940094,-0.0062157189612212,"vetro, thick 1mm, temp 38C"
2,1752501999962250471,0.9229999780654908,-0.0054297245772087,"vetro, thick 1mm, temp 38C"
2,1752502000062289476,0.9229999780654908,-0.0045559121170938,"vetro, thick 1mm, temp 38C"
2,1752502000161949634,0.921999990940094,-0.005517688746813,"vetro, thick 1mm, temp 38C"
2,1752502000262224435,0.921999990940094,-0.0054923673081624,"vetro, thick 1mm, temp 38C"
2,1752502000362209558,0.921999990940094,-0.0049856467454889,"vetro, thick 1mm, temp 38C"
2,1752502000462281703,0.921999990940094,-0.0042886454626851,"vetro, thick 1mm, temp 38C"
2,1752502000562318325,0.921999990940094,-0.0035611367424696,"vetro, thick 1mm, temp 38C"
2,1752502000662300825,0.921999990940094,-0.0028841551627416,"vetro, thick 1mm, temp 38C"
2,1752502000762298345,0.921999990940094,-0.0022928602240283,"vetro, thick 1mm, temp 38C"
2,1752502000862257003,0.9210000038146972,-0.0035967451096102,"vetro, thick 1mm, temp 38C"
2,1752502000962260961,0.921999990940094,-0.0021119648179662,"vetro, thick 1mm, temp 38C"
2,1752502001062236309,0.921999990940094,-0.0011943456414438,"vetro, thick 1mm, temp 38C"
2,1752502001162324190,0.9210000038146972,-0.0024371979629319,"vetro, thick 1mm, temp 38C"
2,1752502001262270450,0.9210000038146972,-0.0028268477837972,"vetro, thick 1mm, temp 38C"
2,1752502001362245082,0.9210000038146972,-0.0028268477837972,"vetro, thick 1mm, temp 38C"
2,1752502001462090253,0.9210000038146972,-0.0027633598954794,"vetro, thick 1mm, temp 38C"
2,1752502001562206268,0.9200000166893004,-0.0042835252653248,"vetro, thick 1mm, temp 38C"
2,1752502001662203550,0.9200000166893004,-0.0046428890226698,"vetro, thick 1mm, temp 38C"
2,1752502001762600183,0.9200000166893004,-0.0044011172517284,"vetro, thick 1mm, temp 38C"
2,1752502001862246751,0.9200000166893004,-0.0038865485313115,"vetro, thick 1mm, temp 38C"
2,1752502001962229013,0.9190000295639038,-0.0050845973162033,"vetro, thick 1mm, temp 38C"
2,1752502002062238931,0.9190000295639038,-0.005214027462342,"vetro, thick 1mm, temp 38C"
2,1752502002162314414,0.9200000166893004,-0.0030082089366252,"vetro, thick 1mm, temp 38C"
2,1752502002262217283,0.9190000295639038,-0.0034565958804417,"vetro, thick 1mm, temp 38C"
2,1752502002362313985,0.9179999828338624,-0.0051652959677466,"vetro, thick 1mm, temp 38C"
2,1752502002462218523,0.9190000295639038,-0.0037375982593542,"vetro, thick 1mm, temp 38C"
2,1752502002562304496,0.9190000295639038,-0.0027016425389001,"vetro, thick 1mm, temp 38C"
2,1752502002662377834,0.9179999828338624,-0.0037509605214512,"vetro, thick 1mm, temp 38C"
2,1752502002761886835,0.9179999828338624,-0.0039275398859707,"vetro, thick 1mm, temp 38C"
2,1752502002862322092,0.9179999828338624,-0.003660585184848,"vetro, thick 1mm, temp 38C"
2,1752502002962354183,0.9190000295639038,-0.0014002406005869,"vetro, thick 1mm, temp 38C"
2,1752502003062368392,0.9190000295639038,-0.0001666501002462,"vetro, thick 1mm, temp 38C"
2,1752502003162394285,0.9179999828338624,-0.0013472763601319,"vetro, thick 1mm, temp 38C"
2,1752502003262292385,0.9160000085830688,-0.005404482006492,"vetro, thick 1mm, temp 38C"
2,1752502003362334012,0.9179999828338624,-0.0033061557411959,"vetro, thick 1mm, temp 38C"
2,1752502003462263584,0.9179999828338624,-0.0033061557411959,"vetro, thick 1mm, temp 38C"
2,1752502003562428712,0.9179999828338624,-0.0019804218544932,"vetro, thick 1mm, temp 38C"
2,1752502003662416696,0.9179999828338624,-0.0011525742831045,"vetro, thick 1mm, temp 38C"
2,1752502003762388229,0.9179999828338624,-0.0006431972876445,"vetro, thick 1mm, temp 38C"
2,1752502003862407922,0.9179999828338624,-0.0003357148039811,"vetro, thick 1mm, temp 38C"
2,1752502003962306737,0.9169999957084656,-0.0019548108803417,"vetro, thick 1mm, temp 38C"
2,1752502004062437057,0.9160000085830688,-0.0043722118042419,"vetro, thick 1mm, temp 38C"
2,1752502004162221670,0.9169999957084656,-0.0033632623688569,"vetro, thick 1mm, temp 38C"
2,1752502004261741638,0.9169999957084656,-0.0025661835323212,"vetro, thick 1mm, temp 38C"
2,1752502004362247228,0.9160000085830688,-0.0037446352102238,"vetro, thick 1mm, temp 38C"
2,1752502004462225437,0.9160000085830688,-0.0039850593634759,"vetro, thick 1mm, temp 38C"
2,1752502004562234163,0.9160000085830688,-0.0037442118558567,"vetro, thick 1mm, temp 38C"
2,1752502004662243366,0.9169999957084656,-0.001489240684382,"vetro, thick 1mm, temp 38C"
2,1752502004762286186,0.9160000085830688,-0.0020502499744792,"vetro, thick 1mm, temp 38C"
2,1752502004862115859,0.915000021457672,-0.0039405988546378,"vetro, thick 1mm, temp 38C"
2,1752502004962281465,0.9160000085830688,-0.002712239083284,"vetro, thick 1mm, temp 38C"
2,1752502005062335729,0.9160000085830688,-0.001866241277825,"vetro, thick 1mm, temp 38C"
2,1752502005162332773,0.915000021457672,-0.0030837174638598,"vetro, thick 1mm, temp 38C"
2,1752502005262303829,0.9160000085830688,-0.0016027693975552,"vetro, thick 1mm, temp 38C"
2,1752502005362154245,0.9160000085830688,-0.0007328555992861,"vetro, thick 1mm, temp 38C"
2,1752502005462406635,0.9160000085830688,-0.0002406408341985,"vetro, thick 1mm, temp 38C"
2,1752502005562263250,0.9160000085830688,-0.0002406408341985,"vetro, thick 1mm, temp 38C"
2,1752502005662230491,0.9160000085830688,2.220207577215296e-05,"vetro, thick 1mm, temp 38C"
2,1752502005762406587,0.915000021457672,-0.0016509799108757,"vetro, thick 1mm, temp 38C"
2,1752502005862352848,0.9139999747276306,-0.0041223350064291,"vetro, thick 1mm, temp 38C"
2,1752502005961830854,0.915000021457672,-0.0031622047385969,"vetro, thick 1mm, temp 38C"
2,1752502006062161445,0.915000021457672,-0.0024071424808855,"vetro, thick 1mm, temp 38C"
2,1752502006162221670,0.915000021457672,-0.0018205191513273,"vetro, thick 1mm, temp 38C"
2,1752502006262294292,0.9139999747276306,-0.003169311110299,"vetro, thick 1mm, temp 38C"
2,1752502006362358331,0.9139999747276306,-0.0035449811702681,"vetro, thick 1mm, temp 38C"
2,1752502006461839914,0.915000021457672,-0.0016099270802542,"vetro, thick 1mm, temp 38C"
2,1752502006561886548,0.9139999747276306,-0.0023169412529992,"vetro, thick 1mm, temp 38C"
2,1752502006661832332,0.9139999747276306,-0.0024548534848743,"vetro, thick 1mm, temp 38C"
2,1752502006762264490,0.9139999747276306,-0.0023014936648543,"vetro, thick 1mm, temp 38C"
2,1752502006862089395,0.9139999747276306,-0.0020192129232078,"vetro, thick 1mm, temp 38C"
2,1752502006961809396,0.9139999747276306,-0.0016991661967122,"vetro, thick 1mm, temp 38C"
2,1752502007062243223,0.9139999747276306,-0.0013894183430254,"vetro, thick 1mm, temp 38C"
2,1752502007162307739,0.912999987602234,-0.0029125710695608,"vetro, thick 1mm, temp 38C"
2,1752502007262200832,0.912999987602234,-0.0033967845093028,"vetro, thick 1mm, temp 38C"
2,1752502007362418889,0.912999987602234,-0.0033283384889394,"vetro, thick 1mm, temp 38C"
2,1752502007462244272,0.912999987602234,-0.0029952494749568,"vetro, thick 1mm, temp 38C"
2,1752502007562283754,0.912999987602234,-0.0025624634053591,"vetro, thick 1mm, temp 38C"
2,1752502007662294387,0.912999987602234,-0.0025624634053591,"vetro, thick 1mm, temp 38C"
2,1752502007762251377,0.912999987602234,-0.0021197765247738,"vetro, thick 1mm, temp 38C"
2,1752502007861783742,0.9120000004768372,-0.0035120568917716,"vetro, thick 1mm, temp 38C"
2,1752502007962211608,0.912999987602234,-0.0020782123256268,"vetro, thick 1mm, temp 38C"
2,1752502008062233448,0.912999987602234,-0.0011885893789093,"vetro, thick 1mm, temp 38C"
2,1752502008162268161,0.9120000004768372,-0.0024456779166301,"vetro, thick 1mm, temp 38C"
2,1752502008262238025,0.9120000004768372,-0.0028415402876167,"vetro, thick 1mm, temp 38C"
2,1752502008362210988,0.9120000004768372,-0.0027797742235146,"vetro, thick 1mm, temp 38C"
2,1752502008461905956,0.912999987602234,-0.0006993523462742,"vetro, thick 1mm, temp 38C"
2,1752502008562232255,0.9120000004768372,-0.0014169807409758,"vetro, thick 1mm, temp 38C"
2,1752502008662205219,0.9120000004768372,-0.0016410903876917,"vetro, thick 1mm, temp 38C"
2,1752502008761885643,0.9120000004768372,-0.0016032059796903,"vetro, thick 1mm, temp 38C"
2,1752502008862192392,0.9120000004768372,-0.0014403540815975,"vetro, thick 1mm, temp 38C"
2,1752502008962258577,0.9120000004768372,-0.0012309247841884,"vetro, thick 1mm, temp 38C"
2,1752502009062202692,0.9110000133514404,-0.0028174980235951,"vetro, thick 1mm, temp 38C"
2,1752502009162284135,0.9110000133514404,-0.0033413440887808,"vetro, thick 1mm, temp 38C"
2,1752502009261786699,0.9110000133514404,-0.0032973076927316,"vetro, thick 1mm, temp 38C"
2,1752502009362188100,0.9110000133514404,-0.0029789721663216,"vetro, thick 1mm, temp 38C"
2,1752502009462054491,0.9110000133514404,-0.002554880263412,"vetro, thick 1mm, temp 38C"
2,1752502009562290668,0.9110000133514404,-0.0021171360072792,"vetro, thick 1mm, temp 38C"
2,1752502009662231445,0.9100000262260436,-0.0035120759068329,"vetro, thick 1mm, temp 38C"
2,1752502009762248992,0.9100000262260436,-0.0035120759068329,"vetro, thick 1mm, temp 38C"
2,1752502009862313032,0.9120000004768372,-0.0002795559745711,"vetro, thick 1mm, temp 38C"
2,1752502009961949348,0.9110000133514404,-0.0004704379957654,"vetro, thick 1mm, temp 38C"
2,1752502010062266826,0.9110000133514404,-0.0005216307665317,"vetro, thick 1mm, temp 38C"
2,1752502010162452697,0.9100000262260436,-0.0022997452809333,"vetro, thick 1mm, temp 38C"
2,1752502010262254238,0.9110000133514404,-0.0011640674919919,"vetro, thick 1mm, temp 38C"
2,1752502010362267971,0.9100000262260436,-0.0023027961268454,"vetro, thick 1mm, temp 38C"
2,1752502010462247371,0.9100000262260436,-0.0026535215065076,"vetro, thick 1mm, temp 38C"
2,1752502010562243223,0.9100000262260436,-0.0025865600069564,"vetro, thick 1mm, temp 38C"
2,1752502010662256240,0.9110000133514404,-0.0005209816458361,"vetro, thick 1mm, temp 38C"
2,1752502010762320756,0.9100000262260436,-0.0012619367264761,"vetro, thick 1mm, temp 38C"
2,1752502010862241983,0.9100000262260436,-0.0015114304106069,"vetro, thick 1mm, temp 38C"
2,1752502010962251186,0.9100000262260436,-0.0014976535788763,"vetro, thick 1mm, temp 38C"
2,1752502011062092542,0.9089999794960022,-0.0031561982233041,"vetro, thick 1mm, temp 38C"
2,1752502011162238121,0.9089999794960022,-0.0036848272589763,"vetro, thick 1mm, temp 38C"
2,1752502011262238502,0.9089999794960022,-0.0036122210331479,"vetro, thick 1mm, temp 38C"
2,1752502011362318277,0.9100000262260436,-0.0014514599754339,"vetro, thick 1mm, temp 38C"
2,1752502011461985349,0.9089999794960022,-0.0020621397734396,"vetro, thick 1mm, temp 38C"
2,1752502011562326192,0.9089999794960022,-0.0021757802948529,"vetro, thick 1mm, temp 38C"
2,1752502011662273168,0.9100000262260436,-0.0002355598097338,"vetro, thick 1mm, temp 38C"
2,1752502011761820077,0.9100000262260436,0.0007363486108505,"vetro, thick 1mm, temp 38C"
2,1752502011862281322,0.9100000262260436,0.0007363486108505,"vetro, thick 1mm, temp 38C"
2,1752502011962344884,0.9089999794960022,-0.0006537717521144,"vetro, thick 1mm, temp 38C"
2,1752502012062283515,0.9089999794960022,-0.0012760912722768,"vetro, thick 1mm, temp 38C"
2,1752502012162194967,0.9089999794960022,-0.0014661796226514,"vetro, thick 1mm, temp 38C"
2,1752502012262326955,0.9089999794960022,-0.0014273667482963,"vetro, thick 1mm, temp 38C"
